word,comparative,superlative,adverb,nom_sg_masc,gen_sg_masc,dat_sg_masc,acc_sg_masc,abl_sg_masc,nom_sg_fem,gen_sg_fem,dat_sg_fem,acc_sg_fem,abl_sg_fem,nom_sg_neut,gen_sg_neut,dat_sg_neut,acc_sg_neut,abl_sg_neut,nom_pl_masc,gen_pl_masc,dat_pl_masc,acc_pl_masc,abl_pl_masc,nom_pl_fem,gen_pl_fem,dat_pl_fem,acc_pl_fem,abl_pl_fem,nom_pl_neut,gen_pl_neut,dat_pl_neut,acc_pl_neut,abl_pl_neut
cedarbergensis,cedarbergensior,cedarbergensissimus,cedarbergensiter,cedarbergensis,cedarbergensis,cedarbergensi,cedarbergensem,cedarbergensi,cedarbergensis,cedarbergensis,cedarbergensi,cedarbergensem,cedarbergensi,cedarbergense,cedarbergensis,cedarbergensi,cedarbergense,cedarbergensi,cedarbergenses,cedarbergensium,cedarbergensibus,cedarbergensis,cedarbergensibus,cedarbergenses,cedarbergensium,cedarbergensibus,cedarbergensis,cedarbergensibus,cedarbergensia,cedarbergensium,cedarbergensibus,cedarbergensia,cedarbergensibus
barreirensis,barreirensior,barreirensissimus,barreirensiter,barreirensis,barreirensis,barreirensi,barreirensem,barreirensi,barreirensis,barreirensis,barreirensi,barreirensem,barreirensi,barreirense,barreirensis,barreirensi,barreirense,barreirensi,barreirenses,barreirensium,barreirensibus,barreirensis,barreirensibus,barreirenses,barreirensium,barreirensibus,barreirensis,barreirensibus,barreirensia,barreirensium,barreirensibus,barreirensia,barreirensibus
flavicaudus,flavicaudior,flavicaudissimus,flavicaude,flavicaudus,flavicaudi,flavicaudo,flavicaudum,flavicaudo,flavicauda,flavicaudae,flavicaudae,flavicaudam,flavicauda,flavicaudum,flavicaudi,flavicaudo,flavicaudum,flavicaudo,flavicaudi,flavicaudorum,flavicaudis,flavicaudos,flavicaudis,flavicaudae,flavicaudarum,flavicaudis,flavicaudas,flavicaudis,flavicauda,flavicaudorum,flavicaudis,flavicauda,flavicaudis
titanius,titaniior,titaniissimus,titanie,titanius,titanii,titanio,titanium,titanio,titania,titaniae,titaniae,titaniam,titania,titanium,titanii,titanio,titanium,titanio,titanii,titaniorum,titaniis,titanios,titaniis,titaniae,titaniarum,titaniis,titanias,titaniis,titania,titaniorum,titaniis,titania,titaniis
cenulentus,cenulentior,cenulentissimus,cenulente,cenulentus,cenulenti,cenulento,cenulentum,cenulento,cenulenta,cenulentae,cenulentae,cenulentam,cenulenta,cenulentum,cenulenti,cenulento,cenulentum,cenulento,cenulenti,cenulentorum,cenulentis,cenulentos,cenulentis,cenulentae,cenulentarum,cenulentis,cenulentas,cenulentis,cenulenta,cenulentorum,cenulentis,cenulenta,cenulentis
coenulentus,coenulentior,coenulentissimus,coenulente,coenulentus,coenulenti,coenulento,coenulentum,coenulento,coenulenta,coenulentae,coenulentae,coenulentam,coenulenta,coenulentum,coenulenti,coenulento,coenulentum,coenulento,coenulenti,coenulentorum,coenulentis,coenulentos,coenulentis,coenulentae,coenulentarum,coenulentis,coenulentas,coenulentis,coenulenta,coenulentorum,coenulentis,coenulenta,coenulentis
Danaus,Danaior,Danaissimus,Danae,Danaus,Danai,Danao,Danaum,Danao,Danaa,Danaae,Danaae,Danaam,Danaa,Danaum,Danai,Danao,Danaum,Danao,Danai,Danaorum,Danais,Danaos,Danais,Danaae,Danaarum,Danais,Danaas,Danais,Danaa,Danaorum,Danais,Danaa,Danais
faroensis,faroensior,faroensissimus,faroensiter,faroensis,faroensis,faroensi,faroensem,faroensi,faroensis,faroensis,faroensi,faroensem,faroensi,faroense,faroensis,faroensi,faroense,faroensi,faroenses,faroensium,faroensibus,faroensis,faroensibus,faroenses,faroensium,faroensibus,faroensis,faroensibus,faroensia,faroensium,faroensibus,faroensia,faroensibus
uralensis,uralensior,uralensissimus,uralensiter,uralensis,uralensis,uralensi,uralensem,uralensi,uralensis,uralensis,uralensi,uralensem,uralensi,uralense,uralensis,uralensi,uralense,uralensi,uralenses,uralensium,uralensibus,uralensis,uralensibus,uralenses,uralensium,uralensibus,uralensis,uralensibus,uralensia,uralensium,uralensibus,uralensia,uralensibus
pulposus,pulposior,pulposissimus,pulpose,pulposus,pulposi,pulposo,pulposum,pulposo,pulposa,pulposae,pulposae,pulposam,pulposa,pulposum,pulposi,pulposo,pulposum,pulposo,pulposi,pulposorum,pulposis,pulposos,pulposis,pulposae,pulposarum,pulposis,pulposas,pulposis,pulposa,pulposorum,pulposis,pulposa,pulposis
